calories,protein,total_fat,carbohydrate,fiber,sugars,Cluster
381,0.26,0.1,91.27,0.9,0.0,2
691,9.17,72.0,13.86,9.6,3.97,4
25,0.98,0.2,5.88,3.0,3.53,0
367,13.3,2.4,73.13,8.0,1.84,2
144,1.1,2.0,30.4,1.3,24.32,0
25,1.92,0.3,4.97,2.0,1.91,0
42,4.98,0.7,6.7,3.7,3.01,0
282,16.56,23.0,0.0,0.0,0.0,3
300,19.8,24.0,0.46,0.0,0.46,3
290,23.0,18.0,9.0,6.1,0.8,3
25,0.0,0.0,6.25,3.1,6.25,0
349,14.26,0.4,77.06,13.0,45.61,5
51,0.11,0.1,13.12,0.3,12.45,0
407,13.5,7.2,72.3,0.0,0.0,2
215,19.4,15.0,0.2,0.0,0.0,3
134,21.76,4.5,0.0,0.0,0.0,3
316,3.0,16.0,42.6,2.6,0.0,2
29,0.91,0.4,6.5,2.8,4.12,0
148,11.6,0.9,28.1,0.0,0.0,0
172,19.2,9.2,1.55,0.1,1.12,3
57,0.81,0.5,13.93,3.9,0.0,0
182,4.32,1.7,37.6,0.0,0.0,0
272,6.73,5.9,68.73,45.7,0.0,1
516,11.6,33.0,50.3,7.7,31.17,5
201,7.85,15.0,8.13,0.0,5.82,0
25,0.0,0.0,6.25,0.0,6.25,0
270,0.0,0.0,67.38,0.0,59.92,5
119,21.67,3.0,0.0,0.0,0.0,3
268,0.0,0.4,94.8,2.4,0.0,2
673,13.69,68.0,13.08,3.7,3.59,4
371,13.04,1.5,74.67,3.2,2.67,2
20,1.03,0.2,4.3,1.6,2.24,0
406,7.05,11.0,70.54,3.5,21.16,2
30,1.2,0.8,4.67,2.6,0.88,0
271,2.48,16.0,28.56,2.8,0.54,2
68,0.52,0.2,16.23,6.6,2.58,0
103,23.08,0.5,0.0,0.0,0.0,3
576,6.2,50.0,33.5,0.0,0.0,4
283,4.08,0.3,74.08,6.8,67.28,5
106,8.96,0.6,22.14,0.0,0.0,0
322,9.0,3.0,67.64,6.0,0.0,2
316,3.0,16.0,42.6,2.6,21.4,2
384,9.7,3.1,80.1,2.9,0.72,2
383,13.16,11.0,58.84,7.9,26.32,2
108,20.21,2.4,0.0,0.0,0.0,3
47,0.0,0.0,11.86,0.1,7.28,0
43,3.38,0.3,8.95,3.8,2.2,0
33,3.83,0.5,3.12,2.8,0.62,0
876,0.28,99.0,0.0,0.0,0.0,4
17,0.9,0.1,4.0,3.1,0.0,0
424,6.5,5.3,87.7,1.8,31.6,5
424,6.5,5.3,87.7,1.8,31.6,5
28,2.98,0.4,5.06,2.3,1.48,0
147,1.47,5.3,27.09,3.8,0.0,0
16,1.16,0.2,3.18,0.9,0.0,0
15,0.98,0.3,2.98,0.7,0.0,0
410,6.9,6.4,82.8,0.0,0.0,2
428,33.8,22.0,31.27,15.8,0.0,1
116,25.23,1.0,0.0,0.0,0.0,3
282,3.41,14.0,35.2,3.5,0.85,2
203,27.37,10.0,0.0,0.0,0.0,3
461,4.0,17.0,72.9,1.4,31.5,5
301,3.73,14.0,39.73,4.0,0.4,2
313,12.96,4.3,55.77,4.7,6.42,2
374,8.0,22.0,37.2,1.0,6.95,2
500,8.28,36.0,47.59,3.6,32.14,5
331,16.55,0.7,72.73,9.0,2.43,2
763,0.0,100.0,0.0,0.0,0.0,4
322,15.86,27.0,3.59,0.0,0.56,3
103,4.71,2.8,19.22,10.6,0.0,0
147,21.8,5.8,0.36,0.0,0.1,3
233,19.61,14.0,7.7,3.9,0.0,3
102,22.25,0.7,0.0,0.0,0.0,3
108,22.22,1.5,0.0,0.0,0.0,3
216,3.8,11.0,28.2,1.2,25.36,0
522,6.7,34.0,53.3,3.4,0.22,2
36,1.5,0.2,7.0,1.4,0.0,0
249,3.3,0.9,63.87,9.8,47.92,5
133,21.39,4.6,0.0,0.0,0.0,3
261,0.0,0.0,65.1,0.0,65.0,5
28,2.98,0.4,5.24,0.0,0.0,0
198,2.44,19.0,4.63,0.0,3.41,0
16,1.2,0.2,2.5,0.0,0.0,0
264,12.92,10.0,30.28,1.3,6.03,2
352,23.78,28.0,0.57,0.0,0.57,3
100,0.0,6.7,6.67,0.0,0.0,0
133,0.0,6.7,20.0,0.0,20.0,0
293,7.48,0.3,65.07,6.6,4.65,2
37,2.66,0.3,7.81,2.7,0.22,0
517,29.1,44.0,0.8,0.0,0.8,3
425,21.7,37.0,1.2,0.0,1.2,3
427,10.58,14.0,69.55,10.3,1.19,2
570,26.15,50.0,15.83,9.5,0.0,4
72,1.48,0.9,14.26,2.5,1.82,0
102,22.24,0.7,0.0,0.0,0.0,3
62,0.33,0.1,14.94,3.0,9.54,0
48,1.18,0.7,11.29,3.3,7.99,0
146,17.28,8.0,0.0,0.0,0.0,3
172,19.03,10.0,0.44,0.0,0.0,3
245,16.18,19.0,2.28,0.0,0.0,3
170,6.69,9.2,15.1,3.0,0.0,0
78,0.0,0.0,19.46,0.0,10.03,0
318,1.8,0.2,81.3,0.1,57.56,5
177,4.86,8.6,20.12,4.0,0.27,0
44,1.78,1.3,7.56,0.0,0.0,0
254,3.0,14.0,28.89,1.0,21.26,0
32,1.74,0.4,6.7,3.7,3.83,0
12,1.1,0.2,2.23,0.0,0.0,0
281,11.86,8.2,51.42,21.6,0.0,1
271,31.3,5.2,42.38,32.7,0.0,1
251,10.39,3.3,63.95,25.3,0.64,1
296,10.4,2.1,68.61,26.2,0.0,1
38,0.72,0.1,8.82,4.9,1.8,0
719,10.8,80.0,3.98,0.0,0.0,4
61,1.14,0.5,14.66,3.0,8.99,0
64,9.4,1.4,8.28,2.0,0.0,0
98,1.46,0.4,23.63,1.5,0.0,0
391,0.03,3.3,90.4,0.0,80.46,5
12,0.59,0.2,2.16,0.7,1.38,0
45,2.7,0.7,9.2,3.5,0.71,0
36,0.54,0.1,9.09,0.8,8.12,0
157,1.96,9.4,16.18,1.3,4.95,0
22,3.09,0.3,3.26,1.0,1.98,0
31,3.12,0.6,5.1,2.8,0.6,0
358,23.54,29.0,1.75,0.0,1.23,3
46,0.7,0.2,11.54,2.4,9.14,0
41,2.47,1.4,4.12,0.4,2.88,0
57,0.17,0.2,14.51,0.6,13.91,0
34,4.55,0.4,5.54,0.0,0.0,0
94,2.35,1.2,18.82,0.6,14.71,0
66,2.64,1.8,9.69,0.4,5.29,0
40,1.67,0.0,8.33,1.7,6.67,0
185,23.88,0.9,20.42,6.5,1.6,3
23,1.2,0.2,5.1,1.1,4.0,0
90,16.1,1.4,2.0,0.0,0.0,3
103,22.5,0.8,0.0,0.0,0.0,3
371,13.04,1.5,74.67,3.2,2.67,2
416,5.6,9.8,76.9,2.2,19.92,2
74,3.1,0.0,15.6,0.0,0.39,0
445,5.9,13.0,75.7,2.7,22.0,2
223,15.51,16.0,2.74,0.0,2.98,3
239,16.06,19.0,0.26,0.0,0.0,3
276,9.11,7.4,63.94,37.0,1.71,1
40,0.95,0.2,9.28,0.8,3.91,0
386,9.88,5.2,74.93,0.0,5.38,2
327,11.2,29.0,6.3,0.0,0.0,3
173,0.39,0.3,42.47,1.5,35.3,5
153,0.95,9.9,14.89,1.9,12.19,0
261,12.6,22.0,1.9,0.0,1.5,3
282,13.46,14.0,49.7,34.8,7.19,1
333,19.77,15.0,49.9,38.0,0.64,1
233,22.98,4.1,47.75,37.7,1.71,1
130,0.37,0.5,35.06,1.1,29.13,0
311,21.2,3.5,64.29,26.2,0.0,1
195,13.41,15.0,0.0,0.0,0.0,3
482,7.1,20.0,67.6,3.5,12.0,2
475,6.71,32.0,50.5,20.2,0.0,1
341,10.41,1.0,79.12,15.2,6.63,1
717,0.85,81.0,0.06,0.0,0.06,4
108,1.79,0.2,24.01,1.0,0.03,0
345,10.5,1.6,74.52,10.1,0.8,2
27,1.28,0.0,6.73,0.0,0.0,0
350,8.36,17.0,41.72,2.5,3.69,2
351,17.67,22.0,21.18,1.0,0.0,3
120,0.79,7.1,13.17,2.8,9.33,0
321,10.04,7.4,53.58,3.1,15.38,2
63,1.06,0.2,16.01,2.1,12.82,0
165,20.22,8.7,0.0,0.0,0.0,3
62,2.06,1.4,10.29,0.0,9.47,0
519,2.3,34.0,58.4,7.7,35.34,5
39,0.91,0.3,9.54,1.5,8.39,0
273,8.6,6.3,46.0,3.8,1.63,2
530,3.94,30.0,63.39,2.0,60.02,5
143,17.44,8.1,0.04,0.0,0.0,3
63,0.39,0.2,15.01,3.1,9.69,0
254,0.2,0.1,66.3,0.7,27.38,5
375,7.3,3.7,78.0,2.1,26.4,5
45,3.03,0.6,9.14,0.5,0.65,0
306,6.21,0.3,80.88,7.7,2.97,2
260,8.7,3.9,49.5,5.5,0.0,2
23,2.46,0.3,4.02,0.0,0.0,0
352,9.91,1.2,77.72,15.6,0.8,1
326,14.1,29.0,1.63,0.0,0.0,3
325,14.29,14.0,55.83,53.2,2.76,1
476,32.0,26.0,28.6,10.2,0.0,2
360,12.68,1.1,72.83,3.9,0.0,2
69,4.27,2.0,11.71,9.9,0.0,0
315,10.63,13.0,60.73,40.3,1.71,1
50,0.0,0.0,12.5,0.0,6.25,0
197,2.49,9.0,26.59,2.7,1.38,0
385,5.29,22.0,41.05,2.4,4.76,2
125,21.55,3.7,0.0,0.0,0.0,3
884,0.0,100.0,0.0,0.0,0.0,4
15,1.03,0.1,3.28,0.0,0.0,0
319,11.3,2.1,63.7,27.8,35.9,1
391,12.3,2.1,78.6,2.8,0.0,2
55,1.52,0.3,13.02,5.3,7.7,0
43,0.5,0.2,10.1,0.2,9.9,0
147,12.95,6.8,11.05,4.2,0.0,0
151,12.5,8.1,6.9,0.0,1.6,3
161,20.1,8.3,0.0,0.0,0.0,3
120,22.96,2.4,0.0,0.0,0.0,3
49,0.91,0.2,12.54,2.2,8.5,0
474,6.15,23.0,64.43,5.8,0.0,2
144,19.66,6.7,0.0,0.0,0.0,3
44,2.79,1.0,6.91,0.0,0.0,0
23,1.7,0.3,4.7,4.0,0.7,0
115,2.7,0.2,25.61,1.5,17.16,0
19,0.82,0.1,4.51,1.7,1.66,0
177,16.36,12.0,0.0,0.0,0.0,3
223,12.23,17.0,3.81,0.0,1.21,3
375,0.0,0.1,93.55,0.2,70.0,5
884,0.0,100.0,0.0,0.0,0.0,4
335,88.32,3.4,0.0,0.0,0.0,3
283,0.0,0.2,76.79,0.0,76.77,5
148,20.53,6.7,0.0,0.0,0.0,3
76,14.48,1.5,0.0,0.0,0.0,0
282,12.07,22.0,7.53,0.0,0.0,3
358,0.19,0.0,88.69,0.9,3.35,2
68,2.55,1.0,14.32,5.4,8.92,0
392,18.07,25.0,41.35,11.8,0.67,2
522,15.5,34.0,47.4,4.1,42.22,5
284,9.4,3.6,53.1,6.4,4.23,2
884,0.0,100.0,0.0,0.0,0.0,4
394,1.78,7.3,81.64,2.0,75.0,5
197,21.0,9.0,8.0,4.6,1.25,3
112,22.83,1.6,0.0,0.0,0.0,3
27,2.86,0.4,4.67,3.2,1.32,0
35,5.81,0.3,5.11,0.3,0.49,0
360,7.1,18.0,43.7,1.2,0.0,2
107,1.42,0.4,27.57,4.2,23.35,0
412,12.0,9.5,68.4,3.0,1.26,2
58,2.06,1.4,9.05,0.0,7.41,0
413,6.47,11.0,72.05,0.4,45.97,5
250,8.7,3.1,47.5,6.5,0.53,2
111,22.95,1.5,0.0,0.0,0.0,3
31,0.0,0.0,9.38,0.0,6.25,0
116,21.99,2.4,0.0,0.0,0.0,3
106,18.43,3.6,0.21,0.0,0.0,3
71,0.61,0.0,17.45,1.0,16.45,0
257,11.82,15.0,20.08,1.6,3.97,3
327,51.46,1.2,33.92,17.5,16.42,1
315,10.5,6.6,52.6,2.5,1.94,2
85,18.5,0.7,0.0,0.0,0.0,3
124,20.04,4.2,0.0,0.0,0.0,3
345,15.8,15.0,52.29,39.8,0.0,1
58,2.57,0.1,12.44,2.5,0.0,0
27,1.66,0.5,5.35,3.4,1.95,0
37,2.1,0.2,8.53,3.2,0.0,0
253,0.1,0.1,66.4,0.4,21.01,2
